TURNO_MATRICULA,SITUACAO_CIVIL_ALUNO,SEXO_ALUNO,DATA_CADASTRO_REQUERIMENTO,MOTIVO_REQUERIMENTO,TURMA,AREA_TURMA
Noturno,Solteiro(a),Feminino,30/10/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Matutino,Solteiro(a),Feminino,29/10/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Noturno,Solteiro(a),Masculino,22/10/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO II,Gestäo
Noturno,Solteiro(a),Masculino,13/10/2018,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,10/10/2018,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,08/10/2018,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,08/10/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
Noturno,Solteiro(a),Masculino,08/10/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Matutino,Solteiro(a),Masculino,08/10/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
Noturno,Solteiro(a),Masculino,05/10/2018,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Matutino,Solteiro(a),Masculino,02/10/2018,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,02/10/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,02/10/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Matutino,Solteiro(a),Masculino,02/10/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO V,Informática
Matutino,Solteiro(a),Masculino,28/09/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
Matutino,Solteiro(a),Masculino,27/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Matutino,Solteiro(a),Masculino,25/09/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO V,Informática
Noturno,Solteiro(a),Feminino,24/09/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Matutino,Casado(a),Feminino,21/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Noturno,Casado(a),Masculino,19/09/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Matutino,Solteiro(a),Masculino,19/09/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Matutino,Solteiro(a),Masculino,19/09/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,19/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,17/09/2018,Não se identificou com o curso,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Casado(a),Masculino,14/09/2018,Distância / meio de transporte,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
Noturno,Solteiro(a),Masculino,14/09/2018,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,13/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Noturno,Casado(a),Masculino,12/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
Noturno,Solteiro(a),Masculino,12/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Noturno,Casado(a),Masculino,12/09/2018,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Matutino,Solteiro(a),Masculino,12/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Casado(a),Masculino,11/09/2018,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Noturno,Casado(a),Masculino,06/09/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
Noturno,Solteiro(a),Feminino,03/09/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Masculino,03/09/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Matutino,Solteiro(a),Masculino,03/09/2018,Cancelamento da Programação,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Noturno,Solteiro(a),Feminino,31/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Casado(a),Feminino,31/08/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Casado(a),Masculino,31/08/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,31/08/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Noturno,Solteiro(a),Masculino,31/08/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - I MÓDULO,Informática
Matutino,Solteiro(a),Masculino,31/08/2018,Cancelamento da Programação,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Matutino,Casado(a),Masculino,30/08/2018,Transferência de Programação,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Feminino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Feminino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Matutino,Solteiro(a),Feminino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Casado(a),Feminino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Matutino,Solteiro(a),Feminino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Feminino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Casado(a),Feminino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Masculino,29/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Logística - Módulo I,Gestäo
Noturno,Solteiro(a),Masculino,29/08/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Noturno,Casado(a),Masculino,29/08/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Matutino,Solteiro(a),Masculino,29/08/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO V,Informática
Noturno,Solteiro(a),Masculino,29/08/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - I MÓDULO,Informática
Matutino,Casado(a),Masculino,29/08/2018,Cancelamento da Programação,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Noturno,Solteiro(a),Feminino,28/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Matutino,Solteiro(a),Feminino,28/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Feminino,28/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Masculino,28/08/2018,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - MÓDULO V,Informática
Noturno,Casado(a),Feminino,27/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Feminino,27/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Matutino,Solteiro(a),Feminino,27/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Casado(a),Feminino,27/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Masculino,27/08/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Matutino,Casado(a),Masculino,27/08/2018,Cancelamento da Programação,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,24/08/2018,Cancelamento da Programação,Curso Superior de Tecnologia em Logística - Módulo I,Gestäo
Noturno,Solteiro(a),Feminino,24/08/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,21/08/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Matutino,Solteiro(a),Masculino,20/08/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
Noturno,Solteiro(a),Masculino,20/08/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,17/08/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,14/08/2018,Motivo de Trabalho,Curso Superior de Tecnologia em Gestão Comercial - I Módulo,Gestäo
Noturno,Solteiro(a),Feminino,14/08/2018,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,13/08/2018,Motivo de Trabalho,Curso Superior de Tecnologia em Gestão Comercial - I Módulo,Gestäo
Noturno,Solteiro(a),Feminino,13/08/2018,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,08/08/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Matutino,Solteiro(a),Masculino,02/08/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO V,Informática
Noturno,Solteiro(a),Masculino,01/08/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,31/07/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Feminino,20/07/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - IV MÓDULO,Design
Noturno,Solteiro(a),Masculino,18/07/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Matutino,Solteiro(a),Masculino,21/06/2018,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,Solteiro(a),Feminino,14/06/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Matutino,Solteiro(a),Feminino,04/06/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO IV,Informática
Matutino,Casado(a),Masculino,30/05/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Noturno,Solteiro(a),Masculino,29/05/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
Noturno,Solteiro(a),Masculino,28/05/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,17/05/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - III MÓDULO,Informática
Noturno,Solteiro(a),Masculino,16/05/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Divorciado(a),Masculino,15/05/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,10/05/2018,Não se identificou com o curso,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,08/05/2018,Não se adaptou a metodologia,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,30/04/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Matutino,Solteiro(a),Masculino,26/04/2018,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Noturno,Solteiro(a),Masculino,25/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Casado(a),Masculino,23/04/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,23/04/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,23/04/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - III MÓDULO,Informática
Noturno,Solteiro(a),Masculino,20/04/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Solteiro(a),Masculino,19/04/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Solteiro(a),Feminino,18/04/2018,Dificuldades Financeiras,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,18/04/2018,Abandono sem Justificativa,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
Noturno,Solteiro(a),Masculino,16/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Matutino,Solteiro(a),Feminino,12/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Matutino,Solteiro(a),Masculino,11/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,Casado(a),Masculino,10/04/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,10/04/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
Noturno,Casado(a),Masculino,09/04/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Feminino,09/04/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Casado(a),Feminino,09/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Casado(a),Feminino,09/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Matutino,Solteiro(a),Masculino,09/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,União Estável,Masculino,06/04/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Matutino,Casado(a),Masculino,06/04/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO IV,Informática
Noturno,Casado(a),Masculino,05/04/2018,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,04/04/2018,Não se adaptou a metodologia,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,04/04/2018,Não se adaptou a metodologia,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,04/04/2018,Não se adaptou a metodologia,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,04/04/2018,Não se adaptou a metodologia,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,03/04/2018,Não se adaptou a metodologia,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,03/04/2018,Não se adaptou a metodologia,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,02/04/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,02/04/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Casado(a),Masculino,02/04/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,02/04/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - MÓDULO IV,Informática
Noturno,Solteiro(a),Feminino,28/03/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,27/03/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,27/03/2018,Não se adaptou a metodologia,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - III MÓDULO,Informática
Noturno,Solteiro(a),Masculino,26/03/2018,Motivo de Saúde,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,22/03/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,22/03/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,22/03/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO V,Informática
Matutino,Solteiro(a),Masculino,21/03/2018,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,Solteiro(a),Masculino,20/03/2018,Dificuldades Financeiras,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,19/03/2018,Dificuldades Financeiras,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,19/03/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,Solteiro(a),Masculino,17/03/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Matutino,Solteiro(a),Masculino,13/03/2018,Dificuldades Financeiras,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - II MÓDULO ,Informática
Noturno,Casado(a),Masculino,12/03/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - III MÓDULO,Informática
Noturno,Solteiro(a),Masculino,10/03/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,10/03/2018,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,08/03/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,07/03/2018,Outros Motivos,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,06/03/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,06/03/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Feminino,01/03/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Feminino,01/03/2018,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Feminino,28/02/2018,Motivo de Viagens,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Feminino,28/02/2018,Motivo de Viagens,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Matutino,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Noturno,Solteiro(a),Masculino,28/02/2018,Mudança de Município,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO I,Informática
Matutino,Solteiro(a),Masculino,28/02/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Matutino,Casado(a),Masculino,28/02/2018,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Matutino,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Matutino,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Masculino,28/02/2018,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - I MÓDULO,Informática
Noturno,Solteiro(a),Feminino,27/02/2018,Cancelamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
